WORD	AOA	CNC	FAM	IMG	KFFRQ	NLET	NPHN	NSYL
DESIGN	403	444	538	407	114	6	5	2	
DEVICE	472	444	500	391	55	6	5	2	
DEW	331	578	427	559	3	3	3	1	
DIET	442	449	556	486	21	4	4	2	
DINER	444	515	442	497	-	5	4	2	
DIP	331	479	466	456	6	3	3	1	
DISC	447	553	466	575	6	4	4	1	
DITCH	292	555	511	558	10	5	4	1	
DIVE	322	494	508	586	23	4	3	1	
DOCK	367	570	483	559	8	4	3	1	
DOG	169	610	598	636	75	3	3	1	
DOLL	161	588	503	565	10	4	3	1	
DOT	219	530	524	556	13	3	3	1	
DOZEN	319	396	568	525	52	5	4	2	
DRAIN	303	591	510	540	18	5	4	1	
DRAPE	469	532	396	464	-	5	4	1	
DREAD	467	267	460	378	9	5	4	1	
DRESS	222	595	588	595	67	5	4	1	
DRINK	211	549	628	553	82	5	5	1	
DRIVER	283	553	593	567	49	6	5	2	
DROVE	406	447	432	353	62	5	4	1	
DRUG	464	555	539	564	24	4	4	1	
DUCK	164	606	529	632	9	4	3	1	
DUEL	408	456	439	494	5	4	5	2	
DUSK	425	455	474	575	9	4	4	1	
ECHO	356	415	478	556	10	4	3	2	
EFFECT	414	295	602	280	213	6	5	2	
EFFORT	411	296	585	367	145	6	4	2	
ELBOW	237	607	564	602	10	5	4	2	
ELF	272	437	355	543	-	3	3	1	
ELM	367	579	456	550	3	3	3	1	
ENVY	431	265	511	375	7	4	4	2	
ERROR	425	373	542	408	36	5	3	2	
ESCAPE	353	341	524	459	65	6	5	2	
ESSAY	450	527	578	564	19	5	3	2	
EXTRA	331	262	570	337	50	5	6	2	
FACE	166	599	612	581	371	4	3	1	
FACTOR	474	328	499	269	71	6	5	2	
FAIRY	242	433	471	536	4	5	4	2	
FAT	236	540	609	574	60	3	3	1	
FAWN	394	581	433	565	1	4	3	1	
FEAST	351	542	457	610	3	5	4	1	
FELLOW	378	502	475	435	63	6	4	2	
FERRY	378	580	458	592	11	5	4	2	
FEVER	358	492	454	563	19	5	4	2	
FIDDLE	367	582	465	555	2	6	4	2	
FIGHT	261	455	561	543	98	5	3	1	
FIND	272	351	580	370	399	4	4	1	
FINISH	300	343	617	437	39	6	5	2	
FLAG	258	606	545	607	16	4	4	1	
FLAME	261	582	551	598	17	5	4	1	
FLASH	314	480	509	528	21	5	4	1	
FLEECE	367	555	410	547	-	6	4	1	
FLESH	411	597	483	567	52	5	4	1	
FLOCK	294	477	434	516	10	5	4	1	
FORCE	372	331	552	437	230	5	3	1	
FOREST	297	609	513	633	66	6	6	2	
FORK	225	592	584	598	14	4	3	1	
FORM	383	438	553	452	370	4	3	1	
FORT	328	580	418	559	55	4	3	1	
FOX	283	605	501	607	13	3	4	1	
FRAME	394	562	494	508	74	5	4	1	
FRILL	383	523	379	497	-	5	4	1	
FROG	258	619	507	617	1	4	4	1	
FROST	264	608	546	595	6	5	5	1	
FRUIT	219	612	590	587	35	5	4	1	
FUDGE	278	608	477	567	-	5	3	1	
FURY	417	305	443	462	19	4	5	2	
FUTURE	414	311	612	413	227	6	6	2	
GAIN	389	346	543	307	74	4	3	1	
GANG	336	492	515	535	22	4	3	1	
GAS	339	554	558	532	98	3	3	1	
GASP	367	409	457	491	3	4	4	1	
GEESE	314	597	421	603	3	5	3	1	
GENIUS	480	342	476	456	23	6	6	2	
GERM	319	464	523	442	3	4	3	1	
GIANT	256	515	469	562	23	5	5	2	
GIRL	183	607	645	634	220	4	3	1	
GLARE	444	439	458	536	7	5	3	1	
GLEAM	403	391	456	511	4	5	4	1	
GLOBE	364	535	477	583	13	5	4	1	
GLOVE	228	607	575	596	9	5	4	1	
GOAL	294	482	554	556	60	4	3	1	
GOLF	364	540	503	616	34	4	4	1	
GOSPEL	444	403	437	440	13	6	6	2	
GRADE	417	338	533	397	35	5	4	1	
GRAPE	297	611	532	591	3	5	4	1	
GRAVE	339	535	501	619	33	5	4	1	
GRAVY	269	606	522	594	4	5	5	2	
GREED	294	262	494	420	3	5	4	1	
GREEN	225	460	583	609	116	5	4	1	
GRIEF	450	303	505	480	10	5	4	1	
GRIP	325	490	523	540	20	4	4	1	
GROAN	342	432	508	506	1	5	4	1	
GROUND	258	558	574	513	186	6	5	1	
GROVE	483	538	374	470	14	5	4	1	
GROWTH	378	381	560	426	155	6	4	1	
GUARD	344	517	504	530	48	5	3	1	
GUESS	292	247	585	330	56	5	3	1	
GUIDE	367	468	524	482	36	5	3	1	
GULF	456	449	406	491	22	4	4	1	
GUN	228	612	519	613	118	3	3	1	
HAIL	354	502	440	477	10	4	3	1	
HALF	267	389	610	458	275	4	3	1	
HALL	283	565	592	559	152	4	3	1	
HAMMER	278	605	515	618	9	6	4	2	
HARM	306	244	536	362	25	4	3	1	
HASTE	434	303	409	416	9	5	4	1	
HATE	278	335	552	462	42	4	3	1	
HAUL	456	369	454	406	5	4	3	1	
HAVOC	469	338	462	505	3	5	5	2	
HEAD	181	603	611	593	424	4	3	1	
HEALTH	400	372	577	432	105	6	4	1	
HEAP	319	485	519	494	14	4	3	1	
HEART	281	605	578	617	173	5	3	1	
HEAT	278	472	580	507	97	4	3	1	
HEAVEN	272	305	536	448	43	6	4	2	
HEDGE	306	615	487	583	2	5	3	1	
HEIGHT	294	376	590	472	35	6	3	1	
HELL	314	355	564	519	95	4	3	1	
HELP	222	320	594	464	311	4	4	1	
HEN	219	631	461	597	22	3	3	1	
HERO	361	428	510	483	52	4	4	2	
HIDE	256	451	515	430	22	4	3	1	
HILL	256	588	585	607	72	4	3	1	
HIND	469	474	416	424	6	4	4	1	
HINT	408	312	555	343	9	4	4	1	
HIVE	319	583	386	554	2	4	3	1	
HOBBY	361	449	518	494	4	5	4	2	
HOLD	267	416	596	416	169	4	4	1	
HOME	233	539	626	599	547	4	3	1	
HONEY	286	611	533	608	25	5	4	2	
HONOUR	439	258	523	363	2	6	3	2	
HOOF	306	596	401	598	2	4	3	1	
HOP	289	494	432	554	2	3	3	1	
HORN	308	618	498	566	31	4	3	1	
HORROR	372	341	501	545	17	6	4	2	
HOSE	314	596	449	572	9	4	3	1	
HOTEL	308	591	565	597	126	5	5	2	
HOWL	269	434	447	536	4	4	3	1	
HOWLER	478	366	359	353	-	6	4	2	
HUMAN	369	583	596	543	299	5	6	2	
HUMOUR	417	309	555	462	1	6	5	2	
HUMP	369	507	439	515	2	4	4	1	
HUNGER	275	410	584	526	17	6	5	2	
HUNTER	342	535	428	564	18	6	5	2	
HURT	219	368	579	465	37	4	3	1	
HUSH	246	396	415	467	4	4	3	1	
IDEAL	461	253	521	331	61	5	4	2	
INSECT	283	593	542	586	14	6	6	2	
IRON	281	584	555	561	43	4	3	2	
ISLAND	289	596	507	643	167	6	5	2	
ISSUE	472	338	525	315	152	5	4	2	
ITEM	406	436	545	369	54	4	4	2	
JACK	414	552	472	460	92	4	3	1	
JERK	400	441	452	479	2	4	3	1	
JERSEY	306	621	559	572	25	6	4	2	
JEWEL	292	594	519	621	1	5	4	2	
JINGLE	386	437	409	497	-	6	5	2	
JOKE	289	388	580	483	22	4	3	1	
JOLT	431	424	424	426	4	4	4	1	
JUICE	250	599	567	593	11	5	3	1	
JUMP	222	449	551	506	24	4	4	1	
JUNIOR	356	384	470	391	75	6	5	2	
KEEL	500	515	337	451	6	4	3	1	
KEEPER	392	459	464	421	3	6	4	2	
KENNEL	322	611	449	580	3	6	4	2	
KETTLE	274	602	551	594	3	6	4	2	
KICK	228	485	563	551	16	4	3	1	
KILT	300	609	485	622	-	4	4	1	
KITTEN	219	612	517	639	5	6	4	2	
LAD	306	548	490	534	6	3	3	1	
LADY	231	564	573	571	80	4	4	2	
LAMB	186	633	519	614	7	4	3	1	
LAMP	283	615	578	575	18	4	4	1	
LAND	286	604	574	566	217	4	4	1	
LANE	261	537	525	543	30	4	3	1	
LAP	263	540	505	531	19	3	3	1	
LARCH	406	623	406	508	-	5	4	1	
LATCH	386	578	432	464	5	5	4	1	
LAWYER	481	569	520	557	43	6	4	2	
LEAD	400	543	526	488	129	4	3	1	
LEADER	353	487	559	502	74	6	4	2	
LEAK	336	472	514	545	2	4	3	1	
LEEK	389	621	431	540	-	4	3	1	
LEMON	280	608	518	632	18	5	5	2	
LENGTH	322	365	591	395	116	6	4	1	
LENS	475	573	519	556	12	4	4	1	
LESSON	272	404	559	446	29	6	4	2	
LETTER	256	577	610	595	145	6	4	2	
LIAR	308	409	534	425	3	4	3	2	
LIFT	311	461	555	482	23	4	4	1	
LILY	317	609	437	541	1	4	4	2	
LIME	378	590	447	563	13	4	3	1	
LINE	275	477	591	491	298	4	3	1	
LINEN	386	581	515	551	6	5	5	2	
LION	244	627	511	626	17	4	4	2	
LIQUID	343	555	578	589	48	6	6	2	
LISP	486	429	409	464	-	4	4	1	
LIVER	353	617	481	571	16	5	4	2	
LOAN	428	372	535	430	46	4	3	1	
LOBBY	406	532	420	462	20	5	4	2	
LOCK	328	565	588	532	23	4	3	1	
LODGE	456	538	429	464	19	5	3	1	
LOOK	225	376	607	395	399	4	3	1	
LORD	342	409	518	482	93	4	3	1	
LOSS	331	313	558	409	86	4	3	1	
LOVE	303	311	619	569	232	4	3	1	
LUCK	292	275	587	399	47	4	3	1	
LUNCH	275	552	616	602	33	5	5	1	
MADMAN	417	470	407	545	2	6	6	2	
MAGIC	281	257	481	458	37	5	5	2	
MAIDEN	429	545	374	554	2	6	4	2	
MAIN	364	324	574	309	119	4	3	1	
MAKER	358	426	487	379	12	5	4	2	
MALE	383	564	588	587	37	4	3	1	
MANOR	419	523	424	508	5	5	4	2	
MARBLE	294	611	436	605	21	6	4	2	
MARCH	269	440	539	497	120	5	4	1	
MARGIN	403	472	499	494	10	6	5	2	
MARKET	328	551	518	583	155	6	5	2	
MARVEL	489	293	465	410	6	6	5	2	
MASS	458	397	473	484	110	4	3	1	
MAST	392	576	427	558	6	4	4	1	
MATTER	411	439	563	298	308	6	4	2	
MAZE	414	528	434	555	6	4	3	1	
MEADOW	272	594	478	622	17	6	4	2	
MEMBER	392	455	573	399	137	6	5	2	
MEN	236	586	621	587	763	3	3	1	
MENU	433	555	550	613	5	4	5	2	
MERIT	444	308	475	380	29	5	5	2	
METAL	308	582	559	541	61	5	4	2	
METHOD	481	303	556	304	142	6	5	2	
MIGHT	400	271	533	346	672	5	3	1	
MILE	314	460	568	511	48	4	3	1	
MINNOW	397	621	408	554	-	6	4	2	
MINUTE	264	361	621	473	53	6	5	2	
MINUTE	264	361	621	473	53	6	6	2	
MIRROR	258	605	593	627	27	6	4	2	
MIST	367	497	499	637	14	4	4	1	
MOMENT	350	301	560	334	246	6	6	2	
MONEY	247	574	631	604	265	5	4	2	
MOTHER	144	579	632	638	216	6	4	2	
MOTOR	344	565	545	521	56	5	4	2	
MOUSE	242	624	520	615	10	5	3	1	
MOVIE	386	590	523	571	29	5	4	2	
MUD	239	605	519	582	32	3	3	1	
MULE	339	592	455	608	4	4	4	1	
MURDER	381	445	528	549	75	6	4	2	
MUSCLE	397	573	540	553	42	6	4	2	
MUSIC	272	512	599	549	216	5	6	2	
MUSSEL	414	618	396	556	-	6	4	2	
MUZZLE	461	585	369	513	10	6	4	2	
NAIL	272	598	563	588	6	4	3	1	
NAPKIN	342	585	495	582	3	6	6	2	
NATION	425	415	508	436	139	6	5	2	
NATIVE	425	471	508	507	46	6	5	2	
NATURE	342	414	535	513	191	6	5	2	
NAVY	353	472	465	562	37	4	4	2	
NEEDLE	264	608	533	589	15	6	4	2	
NERVE	480	488	554	486	12	5	3	1	
NET	269	577	514	540	34	3	3	1	
NEWT	428	606	335	472	8	4	4	1	
NIGHT	222	496	636	607	411	5	3	1	
NIP	303	515	477	486	3	3	3	1	
NOB	475	492	265	372	1	3	3	1	
NOD	203	437	552	508	12	3	3	1	
NORMAL	375	237	602	294	136	6	5	2	
NOSE	206	628	584	605	60	4	3	1	
NOTE	292	525	594	503	127	4	3	1	
NOTICE	369	479	634	467	59	6	5	2	
NOUN	414	387	518	368	1	4	3	1	
NOVEL	475	529	530	547	59	5	5	2	
NOZZLE	411	555	412	513	4	6	4	2	
NUMBER	239	395	599	489	472	6	5	2	
NURSE	256	588	537	617	17	5	3	1	
OBJECT	339	487	586	408	65	6	6	2	
OCEAN	317	593	526	623	34	5	4	2	
ODOUR	461	472	454	556	-	5	3	2	
OLIVE	458	618	444	578	5	5	4	2	
ONION	286	632	550	617	15	5	5	2	
ORANGE	203	601	567	626	23	6	5	2	
ORDER	344	344	570	352	376	5	3	2	
ORGAN	356	596	510	576	12	5	4	2	
OTTER	383	631	391	572	5	5	3	2	
OUTFIT	417	515	489	487	16	6	5	2	
OVEN	236	593	577	599	7	4	3	2	
PAGE	267	571	603	555	66	4	3	1	
PALACE	294	579	462	612	38	6	5	2	
PALM	333	596	515	555	22	4	3	1	
PAPER	229	599	635	590	157	5	4	2	
PARDON	342	307	532	355	8	6	4	2	
PARK	219	579	571	573	94	4	3	1	
PART	314	339	579	340	500	4	3	1	
PASTE	317	559	504	529	10	5	4	1	
PAUSE	414	306	517	347	21	5	3	1	
PEACH	292	617	536	613	3	5	4	1	
PECK	300	432	471	494	5	4	3	1	
PEDAL	306	602	512	556	4	5	4	2	
PEEP	289	388	418	437	2	4	3	1	
PELT	439	526	371	517	-	4	4	1	
PENCIL	225	617	598	607	34	6	5	2	
PENNY	186	606	613	609	25	5	4	2	
PEOPLE	281	540	628	548	847	6	4	2	
PEPPER	269	591	554	587	13	6	4	2	
PERCH	414	576	396	462	1	5	4	1	
PERIOD	458	358	573	429	265	6	6	2	
PERMIT	458	399	516	388	77	6	5	2	
PEST	306	479	482	445	4	4	4	1	
PET	219	557	541	589	8	3	3	1	
PEW	431	554	394	531	-	3	3	1	
PIANO	253	615	545	630	38	5	5	2	
PIG	233	614	509	635	8	3	3	1	
PIGEON	325	609	499	610	3	6	5	2	
PILLOW	217	613	602	624	8	6	4	2	
PIN	261	600	524	576	16	3	3	1	
PIPING	436	538	451	491	5	6	5	2	
PIT	314	593	493	589	14	3	3	1	
PITY	353	303	516	391	14	4	4	2	
PLAIN	361	426	551	463	48	5	4	1	
PLANET	414	523	457	578	21	6	6	2	
PLAY	192	468	586	498	200	4	3	1	
PLOT	422	379	515	420	37	4	4	1	
PLUG	242	558	575	583	23	4	4	1	
PLUNGE	406	396	441	548	5	6	5	1	
POCKET	228	578	590	558	46	6	5	2	
POISON	364	527	504	513	10	6	4	2	
POLISH	336	535	485	494	19	6	5	2	
POND	239	623	506	599	25	4	4	1	
POOL	239	573	541	577	111	4	3	1	
PORCH	319	596	455	586	43	5	4	1	
PORT	372	531	481	546	21	4	3	1	
POST	306	533	586	518	84	4	4	1	
POT	217	584	577	598	28	3	3	1	
POUCH	367	568	373	513	2	5	4	1	
POUND	308	515	618	553	28	5	4	1	
PRAYER	269	381	507	492	28	6	4	2	
PREY	439	464	443	500	7	4	3	1	
PRIEST	411	561	484	568	16	6	5	1	
PRONG	439	530	409	499	-	5	4	1	
PROOF	456	328	546	339	40	5	4	1	
PRUNE	347	611	444	578	1	5	4	1	
PUBLIC	400	356	602	448	438	6	6	2	
PUMP	344	556	497	556	11	4	4	1	
PUNCH	306	548	483	527	5	5	5	1	
PUPPY	203	623	522	635	2	5	4	2	
PUZZLE	320	449	486	510	10	6	4	2	
QUEEN	247	537	527	612	41	5	4	1	
QUIVER	460	485	368	505	-	6	5	2	
RABBIT	206	635	523	611	11	6	5	2	
RACKET	386	562	486	530	5	6	5	2	
RAID	391	407	487	476	10	4	3	1	
RAIN	211	600	604	618	70	4	3	1	
RAKE	336	597	476	550	11	4	3	1	
RANCH	403	561	379	519	27	5	5	1	
RANGE	436	417	515	413	160	5	4	1	
RATE	456	308	527	311	209	4	3	1	
RATTLE	261	549	448	554	5	6	4	2	
REASON	383	332	601	285	241	6	4	2	
REBEL	461	439	448	497	18	5	4	2	
REBEL	461	439	448	497	18	5	5	2	
RECORD	322	558	609	591	137	6	5	2	
REED	369	564	430	520	5	4	3	1	
REFUSE	394	426	518	419	16	6	6	2	
REGRET	428	260	529	359	9	6	6	2	
REIN	356	537	440	478	3	4	3	1	
RELIEF	443	303	551	432	66	6	5	2	
REMARK	419	368	558	321	31	6	5	2	
RENT	425	437	547	469	21	4	4	1	
REPAIR	375	394	543	440	20	6	4	2	
REPEAT	367	331	602	351	26	6	5	2	
REPORT	386	417	590	411	174	6	5	2	
RESCUE	367	373	532	456	15	6	6	2	
REST	222	351	590	396	163	4	4	1	
RESULT	406	318	623	324	244	6	6	2	
REWARD	372	396	525	453	15	6	5	2	
RHYME	253	434	480	475	3	5	3	1	
RIBBON	286	600	480	563	12	6	5	2	
RIDGE	433	547	430	543	18	5	3	1	
RIFLE	322	606	477	581	63	5	4	2	
RING	208	593	589	601	47	4	3	1	
RIOT	456	414	490	548	7	4	4	2	
RISK	397	290	517	405	54	4	4	1	
ROAD	206	583	604	609	197	4	3	1	
ROBIN	233	637	487	615	2	5	5	2	
ROD	278	591	504	549	18	3	3	1	
ROGUE	444	424	378	478	1	5	3	1	
ROOM	244	566	627	545	383	4	3	1	
ROPE	281	608	539	596	15	4	3	1	
ROUTE	447	440	515	447	43	5	3	1	
RUBBER	289	596	547	599	15	6	4	2	
RUBY	397	594	445	562	-	4	4	2	
RUG	233	611	557	591	13	3	3	1	
RULER	311	555	571	543	3	5	4	2	
RUMOUR	461	311	503	353	-	6	4	2	
RUNG	414	532	423	480	3	4	3	1	
RUST	380	553	484	547	10	4	4	1	
SADDLE	344	603	436	578	25	6	4	2	
SAFETY	339	323	556	397	47	6	5	2	
SALAD	342	595	554	623	9	5	5	2	
SALT	233	594	612	570	46	4	4	1	
SAP	464	540	377	451	1	3	3	1	
SAUCE	258	576	522	569	20	5	3	1	
SAVAGE	392	427	448	528	22	6	5	2	
SCALE	397	475	523	463	60	5	4	1	
SCARE	297	380	523	471	3	5	3	1	
SCENE	425	408	526	432	106	5	3	1	
SCHEME	475	328	492	319	33	6	4	1	
SCHOOL	228	573	582	599	492	6	4	1	
SCORN	471	290	417	364	4	5	4	1	
SCOUT	372	562	452	578	8	5	4	1	
SCREAM	275	479	522	589	13	6	5	1	
SCROLL	458	593	350	572	-	6	5	1	
SEAL	328	587	482	563	17	4	3	1	
SEARCH	344	371	537	402	66	6	4	1	
SEASON	328	445	565	495	105	6	4	2	
SECOND	289	344	598	371	373	6	6	2	
SELF	328	459	604	466	40	4	4	1	
SELLER	381	444	459	427	6	6	4	2	
SENDER	406	482	464	370	-	6	5	2	
SENSE	336	316	583	368	311	5	4	1	
SERIES	461	373	525	398	130	6	5	2	
SEX	450	512	617	584	84	3	4	1	
SHADOW	311	457	536	565	36	6	4	2	
SHAKER	433	472	370	408	2	6	4	2	
SHAME	367	287	534	419	21	5	3	1	
SHAPE	303	452	575	471	85	5	3	1	
SHAWL	331	606	455	576	3	5	3	1	
SHED	231	611	524	602	11	4	3	1	
SHEET	251	608	616	594	45	5	3	1	
SHIELD	350	576	464	556	8	6	4	1	
SHIP	249	615	553	612	83	4	3	1	
SHIRT	269	616	612	612	27	5	3	1	
SHIVER	308	455	517	578	4	6	4	2	
SHOP	236	549	615	561	63	4	3	1	
SHOWER	342	588	593	615	15	6	3	2	
SHRIEK	406	481	458	515	5	6	4	1	
SHRUB	383	588	446	556	1	5	4	1	
SHRUG	408	421	481	497	2	5	4	1	
SIGNAL	367	464	507	513	63	6	5	2	
SILVER	317	564	528	582	29	6	5	2	
SIN	400	273	501	441	53	3	3	1	
SINGER	314	553	548	575	10	6	4	2	
SINK	219	590	586	599	23	4	4	1	
SKETCH	411	535	452	510	16	6	5	1	
SKILL	414	346	549	366	42	5	4	1	
SKIRT	258	614	551	573	21	5	4	1	
SLANG	464	373	512	411	2	5	4	1	
SLAVE	386	539	418	564	30	5	4	1	
SLEEVE	272	587	560	550	11	6	4	1	
SLICE	292	443	540	507	13	5	4	1	
SLIME	408	545	426	558	-	5	4	1	
SLIT	364	520	487	508	6	4	4	1	
SMASH	278	402	536	518	4	5	4	1	
SMILE	208	514	594	615	58	5	4	1	
SMOKE	228	541	596	615	41	5	4	1	
SNAKE	289	621	501	627	44	5	4	1	
SNEER	467	371	398	494	1	5	3	1	
SNORT	433	424	401	472	3	5	4	1	
SOAP	222	598	594	600	22	4	3	1	
SOCK	172	581	578	553	4	4	3	1	
SOIL	347	581	516	566	54	4	3	1	
SOLD	308	310	544	408	47	4	4	1	
SONG	242	514	603	578	70	4	3	1	
SORROW	394	282	486	429	9	6	4	2	
SOUND	300	502	597	497	204	5	4	1	
SPACE	319	381	576	538	184	5	4	1	
SPAN	456	352	449	381	19	4	4	1	
SPARE	364	313	552	316	23	5	3	1	
SPECK	353	484	477	503	7	5	4	1	
SPEECH	369	453	549	447	61	6	5	1	
